"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2015-11-20",45.75,45.99,45.42,45.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-11-23",45.569,45.94,45.515,45.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-11-24",45.38,46.09,45.34,45.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-11-25",45.85,46.05,45.62,45.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-11-27",45.6,45.71,45.41,45.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-11-30",45.74,45.94,45.57,45.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-12-01",45.78,46.06,45.6,46.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-12-02",45.81,46.0199,45.28,45.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-12-03",45.65,45.73,44.795,45.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-12-04",45.19,45.94,45.02,45.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-12-07",45.66,45.66,44.71,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-12-08",44.53,44.91,44.09,44.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-12-09",45.28,46.06,45.01,45.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-12-10",45.2,45.57,44.84,45.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-12-11",44.03,44.47,43.88,43.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-12-14",43.71,43.85,42.97,43.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-12-15",43.77,44.0599,43.505,43.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-12-16",43.83,44.09,43.23,44.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-12-17",44.12,44.12,43.17,43.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-12-18",42.76,43.05,42.27,42.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-12-21",42.6,42.765,42.29,42.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-12-22",42.85,43.39,42.73,43.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-12-24",44.11,44.29,44.02,44.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-12-28",43.92,43.92,43.55,43.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-12-29",44.09,44.365,44.03,44.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-12-30",44.07,44.21,43.74,43.795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-12-31",43.7,43.93,43.42,43.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-04",42.72,42.82,42.255,42.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-05",42.92,42.92,42.4,42.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-06",42.18,42.18,41.365,41.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-07",40.9,41.245,40.255,40.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-08",40.7701,40.9,39.9699,40.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-11",40.21,40.28,39.08,39.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-12",39.8,39.89,38.95,39.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-13",39.61,39.81,38.48,38.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-14",38.63,39.335,38.22,39.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-15",38.11,38.51,37.75,38.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-19",38.6,38.73,37.295,37.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-20",36.94,37.82,36.2926,37.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-21",37.5,38.11,37.175,37.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-22",38.56,39.08,38.15,38.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-25",38.15,38.205,37.22,37.28,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-26",37.68,38.02,37.285,37.935,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-27",37.81,38.5,37.52,37.62,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-28",37.96,38.02,37.3435,37.68,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-29",37.91,38.8,37.7,38.76,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-02-01",38.29,39.03,38.08,38.93,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-02-02",38.78,38.82,38.22,38.65,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-02-03",39.27,39.97,38.63,39.97,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-02-04",40.15,41.35,40.1,41.06,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-02-05",40.92,41.1875,40.47,40.61,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-02-08",40.26,40.32,38.965,39.54,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-02-09",39.16,40.23,39.16,39.995,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-02-10",40.2,40.61,39.55,39.65,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-02-11",38.77,39.3501,38.48,38.79,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-02-12",39.24,39.94,38.9,39.94,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-02-16",40.34,40.55,39.83,40.55,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-02-17",40.88,41.58,40.87,41.39,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-02-18",41.4,41.4,40.93,41.2,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-02-19",40.97,41.04,40.58,40.75,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-02-22",41.21,41.67,41.15,41.53,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-02-23",41.13,41.22,40.44,40.52,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-02-24",40.05,40.98,39.91,40.96,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-02-25",41,41.49,40.665,41.47,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-02-26",41.82,42.29,41.82,42.05,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-02-29",42.14,42.56,41.78,41.8,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-03-01",42.3,42.98,42.0312,42.87,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-03-02",42.42,42.79,42.2625,42.7,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-03-03",42.61,43.07,42.53,42.96,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-03-04",42.96,43.74,42.865,43.43,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-03-07",43.49,44.06,43.47,43.97,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-03-08",43.57,43.605,42.85,43.1,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-03-09",43.3,43.58,43.07,43.37,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-03-11",44.07,44.51,44.03,44.4,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-03-14",44.13,44.335,43.935,44.1,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-03-15",43.73,43.73,43.44,43.685,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-03-16",43.73,44.54,43.64,44.49,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-03-17",44.6,45.53,44.49,45.44,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-03-18",45.51,45.74,45.17,45.31,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-03-21",45.18,45.37,44.76,45.07,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-03-22",44.84,45.28,44.68,45.11,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-03-23",44.83,44.8601,44.47,44.52,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-03-24",44.174,44.55,43.99,44.55,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-03-28",44.71,44.9,44.46,44.74,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-03-29",44.51,45,44.28,44.99,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-03-30",45.2,45.3822,45,45.19,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-03-31",45.24,45.3,44.661,44.81,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-04-01",44.49,45.16,44.16,45.09,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-04-04",44.94,45.08,44.57,44.65,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-04-05",44.29,44.59,44.27,44.37,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-04-06",44.32,44.88,43.97,44.88,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-04-07",44.47,44.61,44.04,44.23,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-04-08",44.61,45.02,44.47,44.64,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-04-11",44.93,45.185,44.72,44.72,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-04-12",44.94,45.42,44.74,45.34,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-04-13",45.63,45.94,45.59,45.79,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-04-14",45.99,45.99,45.72,45.82,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-04-15",45.94,46.06,45.6467,46.03,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-04-18",45.8,46.245,45.63,46.24,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-04-19",46.54,47.26,46.52,47.23,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-04-20",47.29,47.32,46.9699,47.12,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-04-21",47.17,47.41,46.87,46.88,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-04-22",47.11,47.3565,46.97,47.21,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-04-25",47.01,47.16,46.69,46.91,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-04-26",47.09,47.49,47.05,47.43,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-04-27",47.52,47.88,47.3367,47.78,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-04-28",47.27,47.91,47.18,47.39,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-04-29",47.23,47.54,46.78,47.1,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-05-02",47.15,47.3001,46.81,47.27,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-05-03",46.81,46.85,46.29,46.49,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-05-04",46.08,46.37,45.72,46.02,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-05-05",46.29,46.38,45.71,45.79,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-05-06",45.67,46.2,45.54,46.16,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-05-09",45.85,45.85,45.54,45.6,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-05-10",45.87,46.4,45.74,46.36,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-05-11",46.42,46.6,46.17,46.2,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-05-12",47.04,47.19,46.24,46.4,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-05-13",46.38,46.62,45.78,45.95,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-05-16",46.09,46.79,46.05,46.68,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-05-17",46.53,46.96,46.4,46.5,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-05-18",46.24,46.58,45.58,45.8,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-05-19",45.73,46.01,45.4185,45.95,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-05-20",46.14,46.47,46.12,46.2,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-05-23",46.53,47.03,46.48,46.82,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-05-24",46.99,47.24,46.89,47.12,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-05-25",47.42,48.02,47.4,47.71,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-05-26",47.88,48.18,47.17,47.19,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-05-27",47.16,47.35,47.057,47.18,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-05-31",47.25,47.36,46.865,46.94,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-06-01",46.73,47.09,46.38,47.06,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-06-02",46.81,47.29,46.74,47.24,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-06-03",47.47,47.77,47.17,47.7,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-06-06",47.88,48.2,47.84,48.15,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-06-07",48.19,48.33,47.96,48.16,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-06-08",48.48,48.6,48.28,48.45,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-06-09",48.2,48.216,47.88,48.18,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-06-10",47.885,48.02,47.62,47.74,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-06-13",47.76,47.9299,47.2,47.25,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-06-14",47.07,47.22,46.545,46.87,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-06-15",47.06,47.4,46.96,47.07,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-06-16",46.87,47.25,46.46,47.22,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-06-17",46.9,47.3,46.79,47.21,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-06-20",47.59,48.05,47.44,47.47,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-06-21",47.51,47.57,47.165,47.34,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-06-22",47.46,47.56,47.31,47.36,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-06-23",47.86,48.14,47.8,48.12,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-06-24",46.48,47.07,45.9,46.02,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-06-27",45.56,45.58,44.22,44.47,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-06-28",44.96,45.12,44.38,44.85,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-06-29",45.44,45.76,45.29,45.61,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-06-30",45.74,46.36,45.49,46.34,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-07-01",46.37,46.6565,46.21,46.36,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-07-05",46.0803,46.15,45.36,45.52,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-07-06",45.38,45.76,45.02,45.72,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-07-07",45.79,46.19,45.54,45.81,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-07-08",46.14,47.05,46.14,46.93,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-07-11",47.11,47.32,47,47.19,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-07-12",47.67,48.31,47.55,48.05,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-07-13",48.22,48.24,47.8901,48.18,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-07-14",48.46,48.6999,48.3164,48.61,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-07-15",48.75,48.92,48.65,48.78,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-07-18",48.71,49.145,48.47,49.1,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-07-19",48.77,49.02,48.61,48.78,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-07-20",48.68,48.96,48.47,48.83,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-07-21",48.85,48.87,48.35,48.53,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-07-22",48.55,48.77,48.45,48.66,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-07-25",48.54,48.59,48.25,48.58,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-07-26",48.59,48.98,48.54,48.95,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-07-27",49.03,49.18,48.66,49.01,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-07-28",48.89,49.1,48.655,48.92,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-07-29",48.8,48.84,48.35,48.69,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-01",48.65,48.695,48.2236,48.42,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-02",48.41,48.5235,47.97,48.3,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-03",48.31,48.6,48.06,48.39,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-04",48.48,48.74,48.31,48.61,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-05",48.66,48.83,48.595,48.77,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-08",48.83,49.01,48.79,48.84,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-09",48.9203,49.06,48.62,48.72,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-10",48.93,48.9455,48.66,48.73,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-11",48.97,49.03,48.68,48.97,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-12",48.96,48.99,48.32,48.42,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-15",48.56,49.03,48.56,48.91,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-16",49.07,49.18,48.63,48.65,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-17",48.61,48.715,48.205,48.59,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-18",48.63,48.92,48.6101,48.92,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-19",48.6,49.06,48.51,48.99,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-22",48.79,48.99,48.55,48.97,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-23",49.36,49.57,49.23,49.34,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-24",49.21,49.21,48.71,48.77,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-25",48.73,49.07,48.72,49.01,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-26",49.19,49.52,48.53,48.73,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-29",48.86,49.2799,48.8314,49.17,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-30",49.15,49.41,48.96,49.05,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-31",48.79,48.86,48.45,48.56,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-09-02",49.1,49.24,48.98,49.19,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-09-06",49.33,49.43,48.93,49.13,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-09-07",49.03,49.21,48.76,49.07,37.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
